movieInfo,title,star,quote
"
                            导演: 拉库马·希拉尼 Rajkumar Hirani   主演: 阿米尔·汗 Aamir Khan / 卡...;
                            2009 / 印度 / 剧情 喜剧 爱情 歌舞
                        ;
                                ;
                            ",三傻大闹宝莱坞 / 3 Idiots / 三个傻瓜  /  作死不离3兄弟(港),9.1,英俊版憨豆，高情商版谢耳朵。
"
                            导演: 克里斯托夫·巴拉蒂 Christophe Barratier   主演: 杰拉尔·朱诺 Géra...;
                            2004 / 法国 德国 瑞士 / 剧情 儿童 音乐
                        ;
                                ;
                            ",放牛班的春天 / Les choristes / 歌声伴我心(港)  /  唱诗班男孩,9.2,天籁一般的童声，是最接近上帝的存在。 
"
                            导演: 莱塞·霍尔斯道姆 Lasse Hallström   主演: 理查·基尔 Richard Ger...;
                            2009 / 美国 英国 / 剧情
                        ;
                                ;
                            ",忠犬八公的故事 / Hachi: A Dog's Tale / 忠犬小八(台)  /  秋田犬八千(港),9.2,永远都不能忘记你所爱的人。
"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch...;
                            1988 / 日本 / 动画 奇幻
                        ;
                                ;
                            ",龙猫 / となりのトトロ / 邻家的豆豆龙  /  隔壁的特特罗,9.1,人人心中都有个龙猫，童年就永远不会消失。
"
                            导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...;
                            1995 / 香港 中国大陆 / 动作 冒险 喜剧 奇幻 爱情
                        ;
                                ;
                            ",大话西游之大圣娶亲 / 西遊記大結局之仙履奇緣 / 大话西游之大圣娶亲  /  西游记完结篇仙履奇缘,9.1,一生所爱。
"
                            导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 马龙·白兰度 M...;
                            1972 / 美国 / 剧情 犯罪
                        ;
                                ;
                            ",教父 / The Godfather / Mario Puzo's The Godfather  /  教父,9.2,千万不要记恨你的对手，这样会让你失去理智。
"
                            导演: Victor Fleming / George Cukor   主演: 克拉克·盖博 Clark Gable / ...;
                            1939 / 美国 / 剧情 爱情 战争
                        ;
                                ;
                            ",乱世佳人 / Gone with the Wind / 飘,9.2,Tomorrow is another day.
"
                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 安东娜拉·塔莉 Antonel...;
                            1988 / 意大利 法国 / 剧情 爱情
                        ;
                                ;
                            ",天堂电影院 / Nuovo Cinema Paradiso / 星光伴我心(台)  /  新天堂乐园(港),9.1,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
"
                            导演: 加布里尔·穆奇诺 Gabriele Muccino   主演: 威尔·史密斯 Will Smith ...;
                            2006 / 美国 / 剧情 传记 家庭
                        ;
                                ;
                            ",当幸福来敲门 / The Pursuit of Happyness / 寻找快乐的故事(港)  /  追求快乐,8.9,平民励志片。 
"
                            导演: 大卫·芬奇 David Fincher   主演: 爱德华·诺顿 Edward Norton / 布拉...;
                            1999 / 美国 德国 / 剧情 动作 悬疑 惊悚
                        ;
                                ;
                            ",搏击俱乐部 / Fight Club / 搏击会(港)  /  斗阵俱乐部(台),9.0,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
